owner,family,generated,Syncs,intensity,codes,Lagged,pattern_names,names
01-ai,01-ai_YI,manual,CS,F,CSF,No Lag,Frequent Alignment Pattern,Frequent Alignment
1-800-BAD-CODE,1-800-BAD-CODE_XLM-ROBERTA,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
1bitLLM,1bitLLM_BITNET,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
ai-forever,ai-forever_gpt,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
ai-forever,ai-forever_sbert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
alisawuffles,alisawuffles_roberta,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
allenai,allenai_unifiedqa,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
almanach,almanach_camembert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
amberoad,amberoad_bert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
AnnaWegmann,AnnaWegmann_Style-Embedding,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
apple,apple_OpenELM,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
aubmindlab,aubmindlab_bert,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
BAAI,BAAI_bge,manual,CS,F,CSF,No Lag,Frequent Alignment Pattern,Frequent Alignment
Babelscape,Babelscape_rebel,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
Babelscape,Babelscape_wikineural,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
baichuan-inc,baichuan-inc_Baichuan,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
batterydata,batterydata_batterybert,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
bayartsogt,bayartsogt_albert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
benjamin,benjamin_segment,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
bhadresh-savani,bhadresh-savani,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
bigcode,bigcode_gpt,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
bigcode,bigcode_starcoder,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
bigscience,bigscience_workshop,manual,PS,F,PSF,Upstream First,Dense Partial Alignment Pattern,Dense Partial Alignment
bmd1905,bmd1905_vietnamese-correction,manual,CS,S,CSS,No Lag,Intermittent Alignment Pattern,Intermittent Alignment
cahya,cahya_bert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
cais,cais_HarmBench,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
castorini,castorini_msmarco,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
CohereForAI,CohereForAI_aya,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
cointegrated,cointegrated_rubert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
colorfulscoop,colorfulscoop_sbert,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
cross-encoder,cross-encoder_embedding,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
csebuetnlp,csebuetnlp_banglat5,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
dandelin,dandelin_vilt,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
databricks,databricks_dbrx,manual,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
Davlan,Davlan_multilingual,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
dbmdz,dbmdz_bert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
dccuchile,dccuchile_bert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
DeepMount00,DeepMount00_Llama,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
DeepPavlov,DeepPavlov_rubert,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
deepset,deepset_haystack,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
defog,defog_sql-eval,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
DMetaSoul,DMetaSoul_Dmeta,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
dslim,dslim_bert,manual,VS,S,VSS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
DTAI-KULeuven,DTAI-KULeuven_robbert,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
edumunozsala,edumunozsala_roberta,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
Efficient-Large-Model,Efficient-Large-Model_VILA,manual,PS,R,PSR,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
EleutherAI,EleutherAI_gpt,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
EleutherAI,EleutherAI_pythia,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Elron,Elron_bleurt,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
EmbeddedLLM,EmbeddedLLM_bge,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
EmergentMethods,EmergentMethods_gliner,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
emrecan,emrecan_bert,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
eugenesiow,eugenesiow_bart-paraphrase,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
facebook,facebook_bart,manual,VS,S,VSS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
facebook,facebook_blenderbot,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_dpr,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_encodec,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
facebook,facebook_esm2,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
facebook,facebook_galactica,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_hubert,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
facebook,facebook_mbart,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_nllb,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_opt,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
facebook,facebook_roberta,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
facebook,facebook_xlm,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
FacebookAI,FacebookAI_XLM,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
finiteautomata,finiteautomata_sentiment,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
flair,flair_ner,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
fxmarty,fxmarty_tinymodel,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
google,google_bigbird,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
google,google_canine,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
google,google_multilingual,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
google,google_muril,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
google-t5,google_t5transformer,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
GroNLP,GroNLP_gpt,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
gsarti,gsarti_biobert,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
h2oai,h2oai_h2o,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
h2oai,h2oai_h2ogpt,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
Helsinki-NLP,Helsinki-NLP_challenge,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Helsinki-NLP,Helsinki-NLP_opus,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
hfl,hfl_chinese-model,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
hkunlp,hkunlp_instructor,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
HuggingFaceFW,HuggingFaceFW_fineweb,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
HuggingFaceM4,HuggingFaceM4_idefics,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
ibm-granite,ibm-granite_granite,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
ielab,ielab_TILDE,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
Intel,Intel_distilbert,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
ise-uiuc,ise-uiuc_Magicoder,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
ivanlau,ivanlau_language-detection,manual,PS,R,PSR,Downstream First,Sparse Alignment Pattern,Sparse Alignment
JackFram,JackFram_llama,manual,PS,F,PSF,Upstream First,Dense Partial Alignment Pattern,Dense Partial Alignment
jackhhao,jackhhao_jailbreak,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
jhgan,jhgan_ko-model,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
jinaai,jinaai_jina,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
KB,KB_bert,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
KoichiYasuoka,KoichiYasuoka_bert,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
kuelumbus,kuelumbus_polyBERT,manual,CS,S,CSS,No Lag,Intermittent Alignment Pattern,Intermittent Alignment
laion,laion_clap,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
LanguageBind,LanguageBind_LLaVA,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
LanguageBind,LanguageBind_Video-LLaVA,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
llm-blender,llm-blender_PairRM,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
llm-book,llm-book_bert,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
lmsys,lmsys_fastchat,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
lmsys,lmsys_vicuna,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
lucadiliello,lucadiliello_BLEURT,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
LumiOpen,LumiOpen_Poro,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
m3hrdadfi,m3hrdadfi_typo-detector,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
m3rg-iitd,m3rg-iitd_matscibert,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
maidalun1020,maidalun1020_bce-embedding,manual,CS,F,CSF,Upstream First,Frequent Alignment Pattern,Frequent Alignment
MaziyarPanahi,MaziyarPanahi_WizardLM,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
MBZUAI,MBZUAI_LaMini,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
medicalai,medicalai_ClinicalBERT,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
meta-llama,meta-llama_CodeLlama,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
meta-llama,meta-llama_Llama,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
michaelfeil,michaelfeil_bge,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
microsoft,microsoft_BiomedNLP,manual,AS,S,ASS,Downstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
microsoft,microsoft_deberta,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
microsoft,microsoft_infoxlm,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
microsoft,microsoft_Orca,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
microsoft,microsoft_phi-1,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
microsoft,microsoft_Phi-3,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
microsoft,microsoft_unixcoder,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
MilaNLProc,MilaNLProc_feel-it,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
mistralai,mistralai_finetune,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
mixedbread-ai,mixedbread-ai_mxbai,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
mlabonne,mlabonne_NeuralDaredevil,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
mlabonne,mlabonne_NeuralMonarch,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
MLP-KTLim,MLP-KTLim_Bllossom,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
mrm8488,mrm8488_distilroberta,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
mtgv,mtgv_MobileVLM,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
naver,naver_efficient,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
nbroad,nbroad_ESG-BERT,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
neulab,neulab_codebert,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
neuralmind,neuralmind_bert,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
nlpaueb,nlpaueb_legal-bert,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
nomic-ai,nomic-ai_gpt4all,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
nomic-ai,nomic-ai_nomic,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
NousResearch,NousResearch_subnet,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
NousResearch,NousResearch_Yarn-Mistral,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
obi,obi_deid_roberta,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
oliverguhr,oliverguhr_fullstop,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
oliverguhr,oliverguhr_german-sentiment,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
openai-community,openai-community_gpt2,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
openai-community,openai-community_openai,manual,AS,S,ASS,Upstream First,Sporadic Disjoint Pattern,Sporadic Disjoint
openai-community,openai-community_roberta,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
openbmb,openbmb_MiniCPM,manual,CS,S,CSS,No Lag,Intermittent Alignment Pattern,Intermittent Alignment
openchat,openchat_openchat,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
Open-Orca,Open-Orca_OpenOrca,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
protectai,protectai_llm-guard,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
pszemraj,pszemraj_long-t5,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
Qwen,Qwen_CodeQwen,manual,CS,R,CSR,No Lag,Rare Alignment Pattern,Rare Alignment
Qwen,Qwen_Qwen,manual,PS,F,PSF,Upstream First,Dense Partial Alignment Pattern,Dense Partial Alignment
Salesforce,Salesforce_ctrl,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
SanctumAI,SanctumAI_granite,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
SCUT-DLVCLab,SCUT-DLVCLab_lilt-roberta,manual,AS,R,ASR,Upstream First,Rare Disjoing pattern,Rare Disjoing
shhossain,shhossain_opus-mt,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
shibing624,shibing624_text2vec,manual,PS,S,PSS,Downstream First,Dispersed Alignment Pattern,Dispersed Alignment
sileod,sileod_deberta,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
smallcloudai,smallcloudai_Refact,manual,CS,S,CSS,Upstream First,Intermittent Alignment Pattern,Intermittent Alignment
Snowflake,Snowflake_snowflake,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
snrspeaks,snrspeaks_t5-summary,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
solidrust,solidrust_Hermes-2,manual,CS,R,CSR,Upstream First,Rare Alignment Pattern,Rare Alignment
stabilityai,stabilityai_stable-code,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
stanfordnlp,stanfordnlp_stanza,manual,CS,F,CSF,Upstream First,Frequent Alignment Pattern,Frequent Alignment
taide,taide_TAIDE,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
teknium,teknium_OpenHermes,manual,AS,R,ASR,Downstream First,Rare Disjoing pattern,Rare Disjoing
TencentGameMate,TencentGameMate_chinese-hubert,manual,PS,R,PSR,No Lag,Sparse Alignment Pattern,Sparse Alignment
textattack,textattack_textattack,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
TinyLlama,TinyLlama_TinyLlama,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
togethercomputer,togethercomputer_StripedHyena,manual,PS,S,PSS,No Lag,Dispersed Alignment Pattern,Dispersed Alignment
tomaarsen,tomaarsen_span-marker,manual,PS,R,PSR,Upstream First,Sparse Alignment Pattern,Sparse Alignment
transfo-xl,transfo-xl_transfo,manual,PS,S,PSS,Upstream First,Dispersed Alignment Pattern,Dispersed Alignment
