owner,family,family,model_name,pattern_names,average_age_days,names,pipeline_tag,Lagged,library_name,model_size_million_bytes,age_group
01-ai,01-ai_YI,01-ai_YI,9,Frequent Alignment Pattern,195.4444444,Frequent Alignment,text-generation,No Lag,transformers,22721.53859,Intermediate-Families
1-800-BAD-CODE,1-800-BAD-CODE_XLM-ROBERTA,1-800-BAD-CODE_XLM-ROBERTA,1,Dispersed Alignment Pattern,68,Dispersed Alignment,text2text-generation,Upstream First,generic,34388.91725,Recent-Families
42dot,42dot_42DOT-LLM,42dot_42DOT-LLM,1,Sparse Alignment Pattern,140,Sparse Alignment,text-generation,No Lag,transformers,1439.27168,Intermediate-Families
af1tang,af1tang_PERSONALGPT,af1tang_PERSONALGPT,1,Rare Disjoing pattern,715,Rare Disjoing,text-generation,Upstream First,transformers,117,Matured-Families
ai-forever,ai-forever_gpt,ai-forever_gpt,5,Dispersed Alignment Pattern,915.2,Dispersed Alignment,"text-generation,fill-mask",No Lag,transformers,368.9817344,Matured-Families
ai-forever,ai-forever_sbert,ai-forever_sbert,1,Sporadic Disjoint Pattern,1411,Sporadic Disjoint,feature-extraction,Upstream First,transformers,13000,Matured-Families
akdeniz27,akdeniz27_bert,akdeniz27_bert,1,Dispersed Alignment Pattern,1011,Dispersed Alignment,token-classification,Downstream First,transformers,110.032647,Matured-Families
albert,albert_albert,albert_albert,4,Dispersed Alignment Pattern,1555.5,Dispersed Alignment,fill-mask,Upstream First,transformers,66.185056,Matured-Families
alisawuffles,alisawuffles_roberta,alisawuffles_roberta,1,Sporadic Disjoint Pattern,440,Sporadic Disjoint,text-classification,Downstream First,transformers,355.363333,Intermediate-Families
allenai,allenai_allenai,allenai_allenai,3,Sporadic Disjoint Pattern,511.6666667,Sporadic Disjoint,"text2text-generation,feature-extraction,token-classification",Downstream First,transformers,4984.318635,Matured-Families
allenai,allenai_OLMo,allenai_OLMo,3,Intermittent Alignment Pattern,149.3333333,Intermittent Alignment,"feature-extraction,text2text-generation,text-generation",Upstream First,transformers,6888.095744,Intermediate-Families
allenai,allenai_specter2,allenai_specter2,2,Sporadic Disjoint Pattern,363.5,Sporadic Disjoint,text2text-generation,Upstream First,transformers,6888.095744,Intermediate-Families
allenai,allenai_unifiedqa,allenai_unifiedqa,4,Dispersed Alignment Pattern,620.75,Dispersed Alignment,"text2text-generation,feature-extraction,text-generation",Upstream First,transformers,6888.095744,Matured-Families
AnnaWegmann,AnnaWegmann_Style-Embedding,AnnaWegmann_Style-Embedding,1,Rare Alignment Pattern,875,Rare Alignment,sentence-similarity,Upstream First,sentence-transformers,110,Matured-Families
apple,apple_OpenELM,apple_OpenELM,1,Sparse Alignment Pattern,86,Sparse Alignment,text-generation,No Lag,transformers,457.179136,Recent-Families
asapp,asapp_sew,asapp_sew,2,Sparse Alignment Pattern,644,Sparse Alignment,feature-extraction,Upstream First,transformers,32.411999,Matured-Families
aubmindlab,aubmindlab_bert,aubmindlab_bert,2,Dispersed Alignment Pattern,1216,Dispersed Alignment,fill-mask,No Lag,transformers,135.851266,Matured-Families
augmxnt,augmxnt_shisa,augmxnt_shisa,1,Sparse Alignment Pattern,147,Sparse Alignment,text-generation,Upstream First,transformers,7241.732096,Intermediate-Families
avichr,avichr_heBERT,avichr_heBERT,1,Dispersed Alignment Pattern,403,Dispersed Alignment,text-classification,No Lag,transformers,110,Intermediate-Families
avsolatorio,avsolatorio_GIST,avsolatorio_GIST,4,Sparse Alignment Pattern,36.25,Sparse Alignment,sentence-similarity,No Lag,sentence-transformers,125.174336,Recent-Families
BAAI,BAAI_bge,BAAI_bge,15,Frequent Alignment Pattern,155.4,Frequent Alignment,"feature-extraction,text-classification,sentence-similarity,text-generation",No Lag,"sentence-transformers,transformers",2484.99125,Intermediate-Families
Babelscape,Babelscape_rebel,Babelscape_rebel,1,Sporadic Disjoint Pattern,605,Sporadic Disjoint,text2text-generation,Downstream First,transformers,406.348896,Matured-Families
Babelscape,Babelscape_wikineural,Babelscape_wikineural,1,Dispersed Alignment Pattern,477,Dispersed Alignment,token-classification,Upstream First,transformers,177.270281,Matured-Families
baichuan-inc,baichuan-inc_Baichuan,baichuan-inc_Baichuan,2,Dispersed Alignment Pattern,190.5,Dispersed Alignment,text-generation,Downstream First,transformers,7000,Intermediate-Families
basel,basel_ATTACK-BERT,basel_ATTACK-BERT,1,Sparse Alignment Pattern,117,Sparse Alignment,sentence-similarity,No Lag,transformers,110,Intermediate-Families
batterydata,batterydata_batterybert,batterydata_batterybert,1,Sparse Alignment Pattern,3,Sparse Alignment,question-answering,Upstream First,transformers,110,Recent-Families
bayartsogt,bayartsogt_albert,bayartsogt_albert,1,Dispersed Alignment Pattern,1025,Dispersed Alignment,fill-mask,Upstream First,transformers,11.81381,Matured-Families
benjamin,benjamin_segment,benjamin_segment,4,Dispersed Alignment Pattern,173.5,Dispersed Alignment,"token-classification,text-generation",Upstream First,transformers,125,Intermediate-Families
beomi,beomi_ko,beomi_ko,7,Dispersed Alignment Pattern,197.5714286,Dispersed Alignment,"text-generation,fill-mask",Downstream First,transformers,7852.547811,Intermediate-Families
bergum,bergum_xtremedistil,bergum_xtremedistil,1,Sparse Alignment Pattern,440,Sparse Alignment,text-classification,Upstream First,transformers,22.724508,Intermediate-Families
bhadresh-savani,bhadresh-savani,bhadresh-savani,2,Dispersed Alignment Pattern,931,Dispersed Alignment,text-classification,Upstream First,transformers,88.222726,Matured-Families
bigcode,bigcode_gpt,bigcode_gpt,1,Intermittent Alignment Pattern,120,Intermittent Alignment,text-generation,Upstream First,transformers,1124.886528,Intermediate-Families
bigcode,bigcode_starcoder,bigcode_starcoder,3,Dispersed Alignment Pattern,207.3333333,Dispersed Alignment,text-generation,No Lag,transformers,7765.318996,Intermediate-Families
bigcode,bigcode_starcoder2,bigcode_starcoder2,3,Dispersed Alignment Pattern,104,Dispersed Alignment,text-generation,No Lag,transformers,178055.8595,Recent-Families
bigscience,bigscience_workshop,bigscience_workshop,11,Dense Partial Alignment Pattern,436,Dense Partial Alignment,"text-generation,text2text-generation",Upstream First,transformers,3278.837259,Intermediate-Families
blanchefort,blanchefort_rubert,blanchefort_rubert,1,Rare Disjoing pattern,815,Rare Disjoing,text-classification,Upstream First,transformers,177.856259,Matured-Families
bmd1905,bmd1905_vietnamese-correction,bmd1905_vietnamese-correction,1,Intermittent Alignment Pattern,416,Intermittent Alignment,text2text-generation,No Lag,transformers,420.425217,Intermediate-Families
BM-K,BM-K_RoBERTa,BM-K_RoBERTa,2,Sparse Alignment Pattern,239,Sparse Alignment,feature-extraction,Upstream First,transformers,110.618626,Intermediate-Families
bvanaken,bvanaken_clinical-assertion,bvanaken_clinical-assertion,1,Sparse Alignment Pattern,254,Sparse Alignment,text-classification,Upstream First,transformers,110,Intermediate-Families
cahya,cahya_bert,cahya_bert,2,Dispersed Alignment Pattern,739,Dispersed Alignment,"fill-mask,token-classification",Upstream First,transformers,552,Matured-Families
cais,cais_HarmBench,cais_HarmBench,1,Rare Alignment Pattern,43,Rare Alignment,text-generation,No Lag,transformers,13015.86432,Recent-Families
cambridgeltl,cambridgeltl_SapBERT,cambridgeltl_SapBERT,2,Dispersed Alignment Pattern,910.5,Dispersed Alignment,feature-extraction,Downstream First,transformers,193.763457,Matured-Families
CAMeL-Lab,CAMeL-Lab_bert,CAMeL-Lab_bert,5,Sporadic Disjoint Pattern,48.6,Sporadic Disjoint,"token-classification,text-classification,fill-mask",Downstream First,transformers,110,Recent-Families
cardiffnlp,cardiffnlp_tweeteval,cardiffnlp_tweeteval,10,Dispersed Alignment Pattern,628.2,Dispersed Alignment,"text-classification,fill-mask",Upstream First,transformers,191,Matured-Families
cardiffnlp,cardiffnlp_tweetnlp,cardiffnlp_tweetnlp,2,Dispersed Alignment Pattern,430,Dispersed Alignment,text-classification,Upstream First,transformers,125,Intermediate-Families
castorini,castorini_msmarco,castorini_msmarco,2,Sporadic Disjoint Pattern,307,Sporadic Disjoint,"text2text-generation,feature-extraction",Downstream First,transformers,0,Intermediate-Families
ckiplab,ckiplab_chinese-model,ckiplab_chinese-model,4,Dispersed Alignment Pattern,535,Dispersed Alignment,token-classification,Upstream First,transformers,0,Matured-Families
CohereForAI,CohereForAI_aya,CohereForAI_aya,4,Dispersed Alignment Pattern,138.5,Dispersed Alignment,"text-generation,text2text-generation",Downstream First,transformers,39935.14906,Intermediate-Families
cointegrated,cointegrated_rubert,cointegrated_rubert,1,Sporadic Disjoint Pattern,716,Sporadic Disjoint,sentence-similarity,Upstream First,sentence-transformers,29.37855,Matured-Families
colorfulscoop,colorfulscoop_sbert,colorfulscoop_sbert,1,Rare Alignment Pattern,7,Rare Alignment,sentence-similarity,Upstream First,sentence-transformers,0,Recent-Families
cross-encoder,cross-encoder_embedding,cross-encoder_embedding,16,Dispersed Alignment Pattern,144.3125,Dispersed Alignment,"zero-shot-classification,text-classification",Downstream First,transformers,0,Intermediate-Families
csarron,csarron_mobilebert,csarron_mobilebert,1,Sporadic Disjoint Pattern,1090,Sporadic Disjoint,question-answering,Upstream First,transformers,24.582914,Matured-Families
csebuetnlp,csebuetnlp_banglat5,csebuetnlp_banglat5,1,Rare Disjoing pattern,240,Rare Disjoing,translation,Upstream First,transformers,0,Intermediate-Families
dandelin,dandelin_vilt,dandelin_vilt,1,Rare Disjoing pattern,196,Rare Disjoing,fill-mask,Upstream First,transformers,3200,Intermediate-Families
databricks,databricks_dbrx,databricks_dbrx,2,Sparse Alignment Pattern,50.5,Sparse Alignment,text-generation,Downstream First,transformers,67298.26175,Recent-Families
davebulaval,davebulaval_MeaningBERT,davebulaval_MeaningBERT,1,Rare Alignment Pattern,131,Rare Alignment,text-classification,No Lag,transformers,109.483009,Intermediate-Families
Davlan,Davlan_multilingual,Davlan_multilingual,2,Sporadic Disjoint Pattern,946.5,Sporadic Disjoint,token-classification,Downstream First,transformers,67.3705005,Matured-Families
dbmdz,dbmdz_bert,dbmdz_bert,6,Dispersed Alignment Pattern,1166.166667,Dispersed Alignment,"token-classification,fill-mask,text-generation",Upstream First,transformers,133.8403598,Matured-Families
dccuchile,dccuchile_bert,dccuchile_bert,2,Sporadic Disjoint Pattern,1486,Sporadic Disjoint,fill-mask,Upstream First,transformers,0,Matured-Families
DeepPavlov,DeepPavlov_rubert,DeepPavlov_rubert,1,Intermittent Alignment Pattern,628,Intermittent Alignment,feature-extraction,Upstream First,transformers,0,Matured-Families
deepseek-ai,deepseek-ai_deepseek,deepseek-ai_deepseek,9,Dispersed Alignment Pattern,81,Dispersed Alignment,text-generation,No Lag,transformers,12492.2589,Recent-Families
deepset,deepset_haystack,deepset_haystack,9,Intermittent Alignment Pattern,1325.111111,Intermittent Alignment,"question-answering,fill-mask",Upstream First,transformers,197.3418127,Matured-Families
defog,defog_sqlcoder,defog_sqlcoder,1,Rare Alignment Pattern,6,Rare Alignment,text-generation,Upstream First,transformers,8030.261248,Recent-Families
defog,defog_sql-eval,defog_sql-eval,1,Rare Alignment Pattern,75,Rare Alignment,text-generation,Upstream First,transformers,6738.546688,Recent-Families
distilbert,distilbert_distilbert,distilbert_distilbert,9,Intermittent Alignment Pattern,1603,Intermittent Alignment,"fill-mask,text-classification,text-generation,question-answering",Upstream First,transformers,78.35017489,Matured-Families
DMetaSoul,DMetaSoul_Dmeta,DMetaSoul_Dmeta,1,Dispersed Alignment Pattern,74,Dispersed Alignment,feature-extraction,Downstream First,sentence-transformers,0,Recent-Families
dmis-lab,dmis-lab_biobert,dmis-lab_biobert,2,Sparse Alignment Pattern,161.5,Sparse Alignment,"feature-extraction,fill-mask",Upstream First,transformers,0,Intermediate-Families
Dongjin-kr,Dongjin-kr_ko-reranker,Dongjin-kr_ko-reranker,1,Intermittent Alignment Pattern,137,Intermittent Alignment,text-classification,Upstream First,transformers,559.891457,Intermediate-Families
dslim,dslim_bert,dslim_bert,3,Sporadic Disjoint Pattern,1349.333333,Sporadic Disjoint,token-classification,Downstream First,transformers,183.798281,Matured-Families
dwzhu,dwzhu_e5,dwzhu_e5,1,Sparse Alignment Pattern,46,Sparse Alignment,sentence-similarity,Downstream First,transformers,0,Recent-Families
edumunozsala,edumunozsala_roberta,edumunozsala_roberta,1,Rare Disjoing pattern,452,Rare Disjoing,text-classification,Upstream First,transformers,124.64538,Matured-Families
Efficient-Large-Model,Efficient-Large-Model_VILA,Efficient-Large-Model_VILA,5,Dispersed Alignment Pattern,84.8,Dispersed Alignment,text-generation,Downstream First,transformers,20800,Recent-Families
ehsanaghaei,ehsanaghaei_SecureBERT,ehsanaghaei_SecureBERT,1,Dispersed Alignment Pattern,439,Dispersed Alignment,fill-mask,No Lag,transformers,0,Intermediate-Families
elastic,elastic_distilbert,elastic_distilbert,1,Sporadic Disjoint Pattern,799,Sporadic Disjoint,token-classification,Downstream First,transformers,65.197833,Matured-Families
EleutherAI,EleutherAI_gpt,EleutherAI_gpt,1,Intermittent Alignment Pattern,685,Intermittent Alignment,text-generation,Upstream First,transformers,150.364416,Matured-Families
EleutherAI,EleutherAI_llemma,EleutherAI_llemma,1,Sparse Alignment Pattern,159,Sparse Alignment,text-generation,Downstream First,transformers,6000,Intermediate-Families
EleutherAI,EleutherAI_neox,EleutherAI_neox,4,Frequent Alignment Pattern,890.5,Frequent Alignment,text-generation,Upstream First,transformers,7955.860355,Matured-Families
EleutherAI,EleutherAI_polyglot,EleutherAI_polyglot,2,Dispersed Alignment Pattern,260.5,Dispersed Alignment,text-generation,Upstream First,transformers,3717.487424,Intermediate-Families
EleutherAI,EleutherAI_pythia,EleutherAI_pythia,16,Dispersed Alignment Pattern,126.6875,Dispersed Alignment,text-generation,Upstream First,transformers,1739.690626,Intermediate-Families
Elron,Elron_bleurt,Elron_bleurt,2,Rare Disjoing pattern,210,Rare Disjoing,text-classification,Downstream First,transformers,320,Intermediate-Families
EmbeddedLLM,EmbeddedLLM_bge,EmbeddedLLM_bge,1,Rare Disjoing pattern,0,Rare Disjoing,sentence-similarity,Downstream First,transformers,0,Recent-Families
EmergentMethods,EmergentMethods_gliner,EmergentMethods_gliner,1,Sparse Alignment Pattern,61,Sparse Alignment,token-classification,Upstream First,gliner,0,Recent-Families
emilyalsentzer,emilyalsentzer_Bio_ClinicalBERT,emilyalsentzer_Bio_ClinicalBERT,1,Dispersed Alignment Pattern,1127,Dispersed Alignment,fill-mask,Upstream First,transformers,0,Matured-Families
emrecan,emrecan_bert,emrecan_bert,1,Rare Alignment Pattern,0,Rare Alignment,sentence-similarity,Upstream First,sentence-transformers,0,Recent-Families
eugenesiow,eugenesiow_bart-paraphrase,eugenesiow_bart-paraphrase,1,Rare Disjoing pattern,560,Rare Disjoing,text2text-generation,Downstream First,transformers,406.341721,Matured-Families
facebook,facebook_bart,facebook_bart,4,Sporadic Disjoint Pattern,1119.5,Sporadic Disjoint,"summarization,zero-shot-classification,feature-extraction",Downstream First,transformers,136.427712,Matured-Families
facebook,facebook_blenderbot,facebook_blenderbot,2,Dispersed Alignment Pattern,1125,Dispersed Alignment,text2text-generation,Upstream First,transformers,203.6720665,Matured-Families
facebook,facebook_contriever,facebook_contriever,1,Rare Disjoing pattern,157,Rare Disjoing,feature-extraction,Downstream First,transformers,0,Intermediate-Families
facebook,facebook_dpr,facebook_dpr,2,Dispersed Alignment Pattern,853.5,Dispersed Alignment,feature-extraction,Upstream First,transformers,0,Matured-Families
facebook,facebook_dragon,facebook_dragon,1,Rare Disjoing pattern,2,Rare Disjoing,feature-extraction,Downstream First,transformers,124.647684,Recent-Families
facebook,facebook_encodec,facebook_encodec,2,Rare Disjoing pattern,61.5,Rare Disjoing,feature-extraction,Upstream First,transformers,41.13162,Recent-Families
facebook,facebook_esm2,facebook_esm2,5,Intermittent Alignment Pattern,149.8,Intermittent Alignment,fill-mask,Upstream First,transformers,168.5987656,Intermediate-Families
facebook,facebook_fasttext,facebook_fasttext,1,Sparse Alignment Pattern,94,Sparse Alignment,text-classification,Upstream First,fasttext,291.094528,Recent-Families
facebook,facebook_galactica,facebook_galactica,1,Dispersed Alignment Pattern,223,Dispersed Alignment,text-generation,Downstream First,transformers,0,Intermediate-Families
facebook,facebook_hubert,facebook_hubert,1,Sporadic Disjoint Pattern,162,Sporadic Disjoint,feature-extraction,Downstream First,transformers,418,Intermediate-Families
facebook,facebook_mbart,facebook_mbart,6,Dispersed Alignment Pattern,726.5,Dispersed Alignment,"translation,text2text-generation,feature-extraction",Downstream First,transformers,848.603777,Matured-Families
facebook,facebook_nllb,facebook_nllb,4,Dispersed Alignment Pattern,310,Dispersed Alignment,translation,No Lag,transformers,150.0076,Intermediate-Families
facebook,facebook_opt,facebook_opt,8,Dispersed Alignment Pattern,369.5,Dispersed Alignment,text-generation,No Lag,transformers,16850,Intermediate-Families
facebook,facebook_roberta,facebook_roberta,1,Rare Disjoing pattern,278,Rare Disjoing,text-classification,Upstream First,transformers,600,Intermediate-Families
facebook,facebook_wmt19,facebook_wmt19,1,Sporadic Disjoint Pattern,912,Sporadic Disjoint,translation,Upstream First,transformers,1300,Matured-Families
facebook,facebook_xlm,facebook_xlm,3,Sporadic Disjoint Pattern,525.6666667,Sporadic Disjoint,"text-generation,fill-mask",Upstream First,transformers,2254.666667,Matured-Families
Falconsai,Falconsai_intent-classification,Falconsai_intent-classification,1,Rare Disjoing pattern,50,Rare Disjoing,text-classification,Downstream First,transformers,66.965007,Recent-Families
finiteautomata,finiteautomata_sentiment,finiteautomata_sentiment,3,Dispersed Alignment Pattern,729,Dispersed Alignment,text-classification,No Lag,transformers,44.96849367,Matured-Families
flair,flair_ner,flair_ner,12,Intermittent Alignment Pattern,667.1666667,Intermittent Alignment,token-classification,Upstream First,flair,0,Matured-Families
fxmarty,fxmarty_tinymodel,fxmarty_tinymodel,10,Sporadic Disjoint Pattern,53.3,Sporadic Disjoint,"text-generation,feature-extraction,text2text-generation",Downstream First,transformers,0.9411304,Recent-Families
