owner,family,model_name,is_50,manual_sync,lag,manual_intensity,code,manual_code,manual_lag,manual_pattern,auto_lag,auto_syncs,auto_intensity,auto_code,auto_pattern_name,differences
01-ai,01-ai_YI,9,NO,CS,NL,F,CSNLF,CSF,No Lag,Frequent Alignment Pattern,No Lag,CS,F,CSF,Frequent Alignment Pattern,TRUE
1-800-BAD-CODE,1-800-BAD-CODE_XLM-ROBERTA,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
1bitLLM,1bitLLM_BITNET,2,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
ai-forever,ai-forever_gpt,5,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
ai-forever,ai-forever_sbert,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
alisawuffles,alisawuffles_roberta,1,NO,AS,GL,S,ASGLS,ASS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
allenai,allenai_unifiedqa,4,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
almanach,almanach_camembert,1,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
amberoad,amberoad_bert,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
AnnaWegmann,AnnaWegmann_Style-Embedding,1,NO,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
apple,apple_OpenELM,1,NO,PS,NL,R,PSNLR,PSR,No Lag,Sparse Alignment Pattern,No Lag,PS,R,PSR,Sparse Alignment Pattern,TRUE
aubmindlab,aubmindlab_bert,2,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
BAAI,BAAI_bge,15,YES,CS,NL,F,CSNLF,CSF,No Lag,Frequent Alignment Pattern,No Lag,CS,F,CSF,Frequent Alignment Pattern,TRUE
Babelscape,Babelscape_rebel,1,NO,AS,GL,S,ASGLS,ASS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
Babelscape,Babelscape_wikineural,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
baichuan-inc,baichuan-inc_Baichuan,2,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
batterydata,batterydata_batterybert,1,NO,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
bayartsogt,bayartsogt_albert,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
benjamin,benjamin_segment,4,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
bhadresh-savani,bhadresh-savani,2,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
bigcode,bigcode_gpt,1,YES,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
bigcode,bigcode_starcoder,3,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
bigscience,bigscience_workshop,11,NO,PS,VL,F,PSVLF,PSF,Upstream First,Dense Partial Alignment Pattern,Upstream First,PS,F,PSF,Dense Partial Alignment Pattern,TRUE
bmd1905,bmd1905_vietnamese-correction,1,NO,CS,NL,S,CSNLS,CSS,No Lag,Intermittent Alignment Pattern,No Lag,CS,S,CSS,Intermittent Alignment Pattern,TRUE
cahya,cahya_bert,2,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
cais,cais_HarmBench,1,NO,CS,NL,R,CSNLR,CSR,No Lag,Rare Alignment Pattern,No Lag,CS,R,CSR,Rare Alignment Pattern,TRUE
castorini,castorini_msmarco,2,NO,AS,GL,S,ASGLS,ASS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
CohereForAI,CohereForAI_aya,4,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
cointegrated,cointegrated_rubert,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
colorfulscoop,colorfulscoop_sbert,1,NO,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
cross-encoder,cross-encoder_embedding,16,YES,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
csebuetnlp,csebuetnlp_banglat5,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
dandelin,dandelin_vilt,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
databricks,databricks_dbrx,2,NO,PS,GL,R,PSGLR,PSR,Downstream First,Sparse Alignment Pattern,Downstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
Davlan,Davlan_multilingual,2,NO,AS,GL,S,ASGLS,ASS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
dbmdz,dbmdz_bert,6,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
dccuchile,dccuchile_bert,2,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
DeepMount00,DeepMount00_Llama,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
DeepPavlov,DeepPavlov_rubert,1,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
deepset,deepset_haystack,9,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
defog,defog_sql-eval,1,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
DMetaSoul,DMetaSoul_Dmeta,1,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
dslim,dslim_bert,3,YES,VS,GL,S,VSGLS,VSS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
DTAI-KULeuven,DTAI-KULeuven_robbert,1,YES,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
edumunozsala,edumunozsala_roberta,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
Efficient-Large-Model,Efficient-Large-Model_VILA,5,YES,PS,GL,R,PSGLR,PSR,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,R,PSR,Sparse Alignment Pattern,FALSE
EleutherAI,EleutherAI_gpt,1,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
EleutherAI,EleutherAI_pythia,16,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
Elron,Elron_bleurt,2,NO,AS,GL,R,ASGLR,ASR,Downstream First,Rare disjoint pattern,Downstream First,AS,R,ASR,Rare disjoint pattern,TRUE
EmbeddedLLM,EmbeddedLLM_bge,1,NO,AS,GL,R,ASGLR,ASR,Downstream First,Rare disjoint pattern,Downstream First,AS,R,ASR,Rare disjoint pattern,TRUE
EmergentMethods,EmergentMethods_gliner,1,YES,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
emrecan,emrecan_bert,1,NO,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
eugenesiow,eugenesiow_bart-paraphrase,1,NO,AS,GL,R,ASGLR,ASR,Downstream First,Rare disjoint pattern,Downstream First,AS,R,ASR,Rare disjoint pattern,TRUE
facebook,facebook_bart,4,YES,VS,GL,S,VSGLS,VSS,Downstream First,Sporadic Disjoint Pattern,Downstream First,VS,S,VSS,Sporadic Disjoint Pattern,TRUE
facebook,facebook_blenderbot,2,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
facebook,facebook_dpr,2,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
facebook,facebook_encodec,2,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
facebook,facebook_esm2,5,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
facebook,facebook_galactica,1,NO,PS,VL,S,PSVLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
facebook,facebook_hubert,1,NO,AS,VL,S,ASVLS,ASS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
facebook,facebook_mbart,6,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
facebook,facebook_nllb,4,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
facebook,facebook_opt,8,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
facebook,facebook_roberta,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
facebook,facebook_xlm,3,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
FacebookAI,FacebookAI_XLM,3,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
finiteautomata,finiteautomata_sentiment,3,YES,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
flair,flair_ner,12,YES,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
fxmarty,fxmarty_tinymodel,10,NO,AS,GL,S,ASGLS,ASS,Downstream First,Sporadic Disjoint Pattern,Downstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
google,google_bigbird,1,NO,AS,VL,S,ASVLS,ASS,Upstream First,Sporadic Disjoint Pattern,Upstream First,AS,S,ASS,Sporadic Disjoint Pattern,TRUE
google,google_canine,2,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
google,google_multilingual,6,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
google,google_muril,2,NO,AS,GL,R,ASGLR,ASR,Downstream First,Rare disjoint pattern,Downstream First,AS,R,ASR,Rare disjoint pattern,TRUE
google-t5,google_t5transformer,5,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
GroNLP,GroNLP_gpt,1,NO,PS,NL,R,PSNLR,PSR,No Lag,Sparse Alignment Pattern,No Lag,PS,R,PSR,Sparse Alignment Pattern,TRUE
gsarti,gsarti_biobert,1,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
h2oai,h2oai_h2o,1,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
h2oai,h2oai_h2ogpt,2,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
Helsinki-NLP,Helsinki-NLP_challenge,5,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
Helsinki-NLP,Helsinki-NLP_opus,40,YES,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
hfl,hfl_chinese-model,5,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
hkunlp,hkunlp_instructor,3,YES,CS,NL,R,CSNLR,CSR,No Lag,Rare Alignment Pattern,No Lag,CS,R,CSR,Rare Alignment Pattern,TRUE
HuggingFaceFW,HuggingFaceFW_fineweb,1,YES,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
HuggingFaceM4,HuggingFaceM4_idefics,1,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
ibm-granite,ibm-granite_granite,3,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
ielab,ielab_TILDE,1,YES,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
Intel,Intel_distilbert,2,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
ise-uiuc,ise-uiuc_Magicoder,1,NO,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
ivanlau,ivanlau_language-detection,1,NO,PS,GL,R,PSGLR,PSR,Downstream First,Sparse Alignment Pattern,Downstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
